mean,std,variance,min,max,median,q25,q75,entropy,autocorr_lag1,hurst_exponent,sample_id,class_label,text_length,num_tokens
3845.6272,19729.223,389242240.0,1.0044124,203185.22,21.43191,3.5541806,197.4869,0.35313187884726194,-0.03669509701290709,0.5466274409998146,91,ai_gen0,172,200
1098.7516,5078.111,25787208.0,1.0000527,50148.383,16.218685,2.9665174,185.92822,0.3664863795956568,-0.041103185412928074,0.43926726827213064,92,ai_gen0,172,214
5066.433,27767.164,771015360.0,1.0015931,309241.3,29.253178,3.642181,572.997,0.303232685384949,0.004701575425753192,0.4588079546167042,93,ai_gen0,172,210
1507.3011,6725.5303,45232760.0,1.0002038,83679.016,13.692427,2.3108642,235.21008,0.36906094852105137,-0.028296856288906203,0.4827084555086554,94,ai_gen0,184,234
2408.5393,10269.617,105465040.0,1.0000798,101877.23,19.329367,3.356955,378.50232,0.3944018683647372,0.010505305109528207,0.5609811026063233,95,ai_gen0,181,215
15885.358,164462.95,27048060000.0,1.0002496,1986448.0,37.704082,4.8068194,444.64944,0.04119500929227769,-0.004127392913276629,0.4989997515014677,96,ai_mimic,121,145
1880.8284,9746.391,94992136.0,1.0563577,114907.55,34.829266,5.565779,249.56088,0.31223317950967866,-0.026236862341289156,0.501953632137857,97,ai_mimic,128,161
7048.774,49529.805,2453201700.0,1.0000395,529472.25,26.683048,3.2648664,435.17004,0.1547314002127588,-0.018003935342979564,0.4712615514421993,98,ai_mimic,127,178
3997.7764,17017.725,289602940.0,1.0408033,152940.64,32.219673,5.0365615,1084.9814,0.45545622775528416,-0.04741374078227394,0.5081137970066645,99,ai_mimic,114,142
6835.797,45798.812,2097531400.0,1.0090382,539569.25,47.556885,4.6657524,397.05676,0.1937405031488081,-0.02121939760862432,0.5140117928484141,100,ai_mimic,121,147
4424.6865,24685.408,609369400.0,1.0095713,233792.73,48.811554,6.5761595,533.8669,0.2643559128064137,-0.019730783524048272,0.4930754667498812,101,ai_mimic,129,154
9250.539,46364.508,2149667600.0,1.0015161,502169.88,41.9191,4.015918,666.8494,0.3603256371936134,-0.031602026649657514,0.48197332734390674,102,ai_mimic,119,155
4318.6206,24754.68,612794200.0,1.0203122,263454.78,32.87432,3.2696092,560.44116,0.26024616964559333,-0.02867725476184186,0.5151406440120081,103,ai_mimic,115,148
4432.9463,20565.557,422942100.0,1.0048023,182983.5,41.122017,4.5754185,445.85538,0.39733007809725196,-0.044983821064871164,0.5956008474578722,104,ai_mimic,125,153
13427.012,96560.25,9323882000.0,1.0016712,1159687.6,66.67398,4.57653,806.72064,0.1809158894960717,-0.013124201106872398,0.5191102840579847,105,ai_mimic,130,169
